RIC,Exchange,Name,StdID,ChineseName
CIF,CFX,CSI 300,IF,沪深300指数
CTF,CFX,TSY BOND,TF,国债
.CIsf.CF,CFX,CIFc1 Spread,,沪深300指数套利
CCF,CZCE,COT#1,CF,棉花
CESF,CZCE,SF,SF,硅铁
CESM,CZCE,SM,SM,锰硅
CETC,CZCE,CETC,TC,动力煤
CFG,CZCE,GLASS,FG,玻璃
CJR,CZCE,J RIC,JR,粳稻
CLR,CZCE,LR,LR,晚粳稻
CMA,CZCE,CMA,MA,
CMEOH,CZCE,CMEOH,ME,甲醇
COI,CZCE,OI,OI,菜油
CPM,CZCE,WHEAT,PM,普麦
CRSM,CZCE,CRSM,RM,菜粕
CRS,CZCE,CRS,RS,菜籽
CSR,CZCE,SUGAR,SR,白糖
CTA,CZCE,PTA,TA,PTA
CWH,CZCE,SG WHT,WH,强麦
CZRI,CZCE,RICE,RI,早籼稻
DBYDCP,DCE,,,
DBY,DCE,BEANOIL,Y,豆油
DCBB,DCE,PLYWOOD,BB,胶合板
DCC,DCE,CORN,C,玉米
DCCP,DCE,PP,PP,聚丙烯
DCFBDCBB,DCE,,,
DCFB,DCE,FIBERBD,FB,纤维板
DCIO,DCE,DCIO,I,铁矿石
DCJ,DCE,COKE,J,焦炭
DCP,DCE,PALMOIL,P,棕油
DJD,DCE,EGG,JD,鸡蛋
DJM,DCE,CK COAL,JM,焦煤
DLLDPV,DCE,,,
DLL,DCE,LLDPE,L,聚乙烯
DPV,DCE,PVC,V,PVC
DSADSM,DCE,,,
DSA,DCE,BEAN#1,A,豆一
DSB,DCE,BEN#2,B,豆二
DSM,DCE,SOYMEAL,M,豆粕
CT,RTF->CFX,,,
SAF,SHFE,AL,AL,铝
SAG,SHFE,AG,AG,白银
SBU,SHFE,BU,BU,沥青
SCF,SHFE,CU,CU,铜
SFU,SHFE,FUEL,FU,燃料油
SHAU,SHFE,GOLD,AU,黄金
SHHC,SHFE,HC,HC,热轧卷板
SNR,SHFE,RUBBER,RU,天然橡胶
SPB,SHFE,PB,PB,铅
SRB,SHFE,REBAR,RB,螺纹钢
SWR,SHFE,WR,WR,线材
SZN,SHFE,ZN,ZN,锌
